Date,Total Time [min],Reading Speed [cpm]
03/28/16,42.9333333333,44.5478162835
04/11/16,63.7,40.9328249496
04/14/16,76.4,33.4660760415
04/26/16,109.4,64.396843292
04/29/16,152.4,69.1891665137
05/02/16,189.85,62.4193701335
05/03/16,223.85,68.7531003382
05/04/16,255.85,53.1273957159
05/05/16,293.85,50.331216994
05/06/16,326.85,64.396843292
06/05/16,346.85,42.5019165727
06/06/16,399.85,44.1057624811
06/08/16,434.85,78.9321307779
06/15/16,454.85,42.5019165727
06/16/16,481.2666666667,56.3116875727
06/17/16,495.2666666667,75.8962795941
06/18/16,512.2666666667,75.0033821871
06/19/16,522.2666666667,42.5019165727
06/20/16,542.2666666667,85.0038331454
06/21/16,552.2666666667,63.7528748591
06/22/16,573.8333333333,59.1216768399
06/24/16,583.8333333333,42.5019165727
06/25/16,606.45,46.9807478696
06/27/16,627.9166666667,39.5980589187
06/28/16,637.9166666667,106.2547914318
06/30/16,647.9166666667,42.5019165727
07/02/16,674.7166666667,71.3651584243
07/08/16,690.4,94.8501857627
07/11/16,703.95,62.7334561959
07/14/16,713.95,42.5019165727
07/16/16,724.15,62.5028184893
07/19/16,734.15,63.7528748591
07/22/16,744.15,106.2547914318
07/22/16,778.75,55.2770591264
07/23/16,809.75,68.5514783431
07/25/16,840.5,69.1088074353
07/26/16,874.4166666667,75.1876656815
07/27/16,897.4166666667,83.1559237292
07/28/16,929.4166666667,59.7683201804
07/29/16,952.1666666667,65.387563958
07/31/16,987.1666666667,103.218940248
08/01/16,1021.8,67.4958251636
08/02/16,1052.3,62.707745763
08/03/16,1091.3,65.387563958
08/04/16,1137.2,60.187899286
08/05/16,1167.5833333321,55.9542511127
08/11/16,1201.5833333382,137.506200652
08/12/16,1266.5833333405,68.6569421535
08/16/16,1298.5166666788,59.8930974576
08/18/16,1328.9833333428,34.8757521141
08/22/16,1362.5333333379,50.6729258764
08/23/16,1374.0000000028,74.1312498474
08/24/16,1396.7166666678,84.1930849267
09/11/16,1407.3500000036,99.926136119
09/12/16,1428.1166666737,71.63244365
09/13/16,1455.5333333372,77.5110940626
09/13/16,1493.5333333354,55.9235744405
09/14/16,1527.8333333382,55.7605319421
09/15/16,1560.3500000099,52.2832392407
09/16/16,1597.5500000096,91.4019711248
09/20/16,1620.5500000113,64.6768295626
09/26/16,1640.5500000136,119.856595251
09/29/16,1677.3166666835,43.0825022628
10/02/16,1696.8166666842,81.2307692279
10/04/16,1717.8166666898,62.8571428404
10/04/16,1732.2333333528,54.9364161989
10/05/16,1772.2333333574,65.9999999923
10/19/16,1801.2333333577,36.4137931032
10/25/16,1831.8333333547,34.5098039249
10/29/16,1893.0500000194,60.3757146766
10/31/16,1910.5500000241,60.3428571268
11/11/16,1970.5500000206,70.4000000041
11/12/16,1994.0000000226,78.8059701424
11/17/16,2014.6333333597,63.9741518464
11/17/16,2039.7333333598,73.6254980077
11/17/16,2073.7333333658,46.5882352858
02/23/17,2096.7333333658,74.5341614907
02/24/17,2139.7333333658,74.7508305648
02/26/17,2186.7333333658,86.6261398176
02/27/17,2218.7333333658,93.75
03/03/17,2328.7333333658,91.5584415584
03/04/17,2367.7333333658,76.9230769231
03/05/17,2405.7333333658,90.2255639098
03/06/17,2438.7333333658,58.4415584416
03/07/17,2476.7333333658,78.9473684211
03/08/17,2517.7333333658,88.850174216
03/09/17,2553.7333333658,95.2380952381
03/12/17,2613.7333333658,78.5714285714
03/13/17,2646.7333333658,97.4025974026
03/14/17,2679.7333333658,77.9220779221
03/19/17,2780.7333333658,59.4059405941
03/20/17,2814.7333333658,75.6302521008
03/21/17,2850.7333333658,83.3333333333
03/22/17,2880.7333333658,78.5714285714
03/23/17,2918.7333333658,101.5037593985
03/26/17,2975.7333333658,82.7067669173
03/27/17,3042.7333333658,95.9488272921
03/28/17,3079.7333333658,104.2471042471
03/29/17,3120.7333333658,94.0766550523
03/30/17,3164.7333333658,97.4025974026
03/31/17,3210.7333333658,83.850931677
04/02/17,3284.7333333658,75.2895752896
04/04/17,3355.7333333658,75.4527162978
04/05/17,3419.7333333658,77.0089285714
04/06/17,3444.7333333658,111.4285714286
04/07/17,3472.7333333658,84.1836734694
04/08/17,3505.7333333658,77.9220779221
04/09/17,3540.7333333658,91.8367346939
04/10/17,3580.7333333658,75
04/11/17,3626.7333333658,83.850931677
04/12/17,3656.7333333658,85.7142857143
04/13/17,3686.7333333658,92.8571428571
04/14/17,3728.7333333658,66.3265306122
04/16/17,3762.7333333658,75.6302521008
04/17/17,3815.7333333658,80.8625336927
04/18/17,3855.7333333658,75
04/19/17,3886.7333333658,82.9493087558
04/20/17,3920.7333333658,88.2352941176
04/21/17,4124.7333333658,81.9327731092
04/23/17,4232.7333333658,77.380952381
04/24/17,4270.7333333658,95.8646616541
04/25/17,4310.7333333658,96.4285714286
04/26/17,4371.7333333658,80.7962529274
04/27/17,4418.7333333658,100.3039513678
04/28/17,4464.7333333658,60.5590062112
05/05/17,4496.7333333658,73.6607142857
05/06/17,4533.7333333658,69.4980694981
05/08/17,4565.7333333658,80.3571428571
05/25/17,4599.7333333658,88.2352941176
05/26/17,4631.7333333658,87.0535714286
05/28/17,4664.7333333658,71.4285714286
05/29/17,4695.7333333658,62.2119815668
05/30/17,4728.7333333658,97.4025974026
05/31/17,4761.7333333658,77.9220779221
06/02/17,4796.7333333658,79.5918367347
06/03/17,4831.7333333658,85.7142857143
06/05/17,4876.7333333658,90.4761904762
06/06/17,4900.7333333658,80.3571428571
06/07/17,4928.7333333658,84.1836734694
06/08/17,4961.7333333658,77.9220779221
06/09/17,4992.7333333658,89.8617511521
06/12/17,5034.7333333658,107.1428571429
06/14/17,5073.7333333658,93.4065934066
06/19/17,5106.7333333658,71.4285714286
06/20/17,5137.7333333658,103.6866359447
06/23/17,5186.7333333658,91.8367346939
06/24/17,5203.7333333658,100.8403361345
06/25/17,5238.7333333658,85.7142857143
06/26/17,5277.7333333658,87.9120879121
06/27/17,5308.7333333658,62.2119815668
06/28/17,5343.7333333658,85.7142857143
06/30/17,5412.7333333658,90.0621118012
07/01/17,5455.7333333658,79.7342192691
07/02/17,5487.7333333658,87.0535714286
07/03/17,5524.7333333658,69.4980694981
07/08/17,5598.7333333658,89.7683397683
07/09/17,5633.7333333658,79.5918367347
07/10/17,5673.7333333658,91.0714285714
07/24/17,5859.7333333658,111.7511520737
07/26/17,5891.7333333658,73.6607142857
07/28/17,5952.7333333658,80.7962529274
07/29/17,5985.7333333658,77.9220779221
07/30/17,6020.7333333658,79.5918367347
07/31/17,6052.7333333658,80.3571428571
08/01/17,6085.7333333658,90.9090909091
08/02/17,6122.7333333658,86.8725868726
08/03/17,6152.7333333658,85.7142857143
08/05/17,6192.7333333658,69.6428571429
08/07/17,6227.7333333658,67.3469387755
08/08/17,6258.7333333658,89.8617511521
08/09/17,6300.7333333658,76.5306122449
08/10/17,6330.7333333658,71.4285714286
08/11/17,6360.7333333658,71.4285714286
08/12/17,6396.7333333658,65.4761904762
08/13/17,6436.7333333658,69.6428571429
08/14/17,6489.7333333658,84.9056603774
08/16/17,6523.7333333658,88.2352941176
08/17/17,6559.7333333658,101.1904761905
08/18/17,6590.7333333658,82.9493087558
08/19/17,6625.7333333658,104.0816326531
08/20/17,6662.7333333658,110.0386100386
08/21/17,6706.7333333658,107.1428571429
08/22/17,6736.7333333658,92.8571428571
08/23/17,6778.7333333658,96.9387755102
08/24/17,6809.7333333658,96.7741935484
08/25/17,6841.7333333658,73.6607142857
08/26/17,6877.7333333658,89.2857142857
08/27/17,6910.7333333658,84.4155844156
08/28/17,6937.7333333658,87.3015873016
08/29/17,6972.7333333658,73.4693877551
08/30/17,7007.7333333658,79.5918367347
08/31/17,7038.7333333658,89.8617511521
09/01/17,7073.7333333658,91.8367346939
09/02/17,7105.7333333658,107.1428571429
09/03/17,7137.7333333658,80.3571428571
09/04/17,7168.7333333658,89.8617511521
09/05/17,7198.7333333658,85.7142857143
09/06/17,7228.7333333658,92.8571428571
09/07/17,7259.7333333658,110.599078341
09/09/17,7320.7333333658,77.2833723653
09/10/17,7350.7333333658,71.4285714286
09/11/17,7381.7333333658,76.0368663594
09/12/17,7414.7333333658,77.9220779221
09/13/17,7452.7333333658,90.2255639098
09/14/17,7462.7333333658,85.7142857143
09/15/17,7492.7333333658,85.7142857143
09/18/17,7530.7333333658,73.3082706767
09/19/17,7564.7333333658,100.8403361345
09/20/17,7596.7333333658,87.0535714286
09/21/17,7630.7333333658,75.6302521008
09/22/17,7657.7333333658,79.3650793651
09/23/17,7689.7333333658,87.0535714286
09/24/17,7721.7333333658,80.3571428571
09/25/17,7749.7333333658,91.8367346939
09/26/17,7779.7333333658,100
09/27/17,7817.7333333658,107.1428571429
09/28/17,7846.7333333658,88.6699507389
09/29/17,7877.7333333658,103.6866359447
09/30/17,7913.7333333658,83.3333333333
10/01/17,7940.7333333658,87.3015873016
10/02/17,7984.7333333658,87.6623376623
10/03/17,8011.7333333658,87.3015873016
10/04/17,8043.7333333658,80.3571428571
10/05/17,8082.7333333658,98.9010989011
10/06/17,8117.7333333658,116.3265306122
10/07/17,8157.7333333658,112.5
10/08/17,8188.7333333658,110.599078341
10/09/17,8224.7333333658,107.1428571429
10/11/17,8253.7333333658,96.0591133005
10/12/17,8277.7333333658,116.0714285714
10/13/17,8308.7333333658,82.9493087558
10/14/17,8364.7333333658,110.9693877551
10/15/17,8409.7333333658,104.7619047619
10/16/17,8440.7333333658,103.6866359447
10/18/17,8465.7333333658,111.4285714286
10/19/17,8505.7333333658,80.3571428571
