Date,Total Time [min],Reading Speed [cpm]
11/08/17,16,70.9722222222
11/09/17,40,47.3148148148
11/10/17,59,59.7660818713
11/11/17,74,75.7037037037
11/12/17,100,52.4102564103
11/13/17,127,50.4691358025
11/14/17,145,50.4691358025
11/15/17,160,75.7037037037
11/16/17,188,64.8888888889
11/17/17,214,61.1452991453
11/19/17,246,63.875
11/20/17,263,66.7973856209
11/21/17,321,70.4827586207
11/28/17,354,48.1750841751
11/29/17,386,63.875
11/30/17,416,68.1333333333
12/03/17,481,66.3863247863
12/04/17,511,68.1333333333
12/06/17,543,63.875
12/07/17,580,85.9339339339
12/08/17,602,61.9393939394
12/09/17,624,72.2626262626
12/10/17,653,70.4827586207
12/11/17,681,73
12/12/17,717,75.7037037037
12/13/17,739,51.6161616162
12/14/17,763,47.3148148148
12/15/17,786,59.2463768116
12/16/17,808,61.9393939394
12/17/17,829,64.8888888889
12/18/17,853,56.7777777778
12/21/17,904,62.3442265795
12/22/17,926,61.9393939394
12/23/17,948,51.6161616162
12/24/17,970,61.9393939394
12/25/17,992,72.2626262626
12/26/17,1015,78.9951690821
12/27/17,1038,59.2463768116
12/28/17,1055,66.7973856209
12/29/17,1078,69.1207729469
12/30/17,1100,72.2626262626
12/31/17,1122,61.9393939394
01/01/18,1143,75.7037037037
01/02/18,1165,61.9393939394
01/03/18,1188,69.1207729469
01/04/18,1210,72.2626262626
01/06/18,1232,72.2626262626
01/07/18,1255,69.1207729469
01/08/18,1276,64.8888888889
01/10/18,1298,72.2626262626
01/12/18,1326,56.7777777778
01/13/18,1347,54.0740740741
01/14/18,1372,63.5911111111
01/15/18,1395,49.3719806763
01/16/18,1418,69.1207729469
01/17/18,1440,72.2626262626
01/18/18,1459,83.6725146199
01/19/18,1482,78.9951690821
01/20/18,1507,54.5066666667
01/21/18,1531,85.1666666667
01/22/18,1555,94.6296296296
01/29/18,1579,94.6296296296
01/30/18,1608,70.4827586207
02/02/18,1631,78.9951690821
02/03/18,1650,83.6725146199
02/04/18,1672,72.2626262626
02/05/18,1694,72.2626262626
02/06/18,1708,81.1111111111
02/07/18,1734,69.8803418803
02/11/18,1781,115.9716312057
02/12/18,1803,82.5858585859
02/13/18,1821,100.9382716049
02/15/18,1867,78.9951690821
02/16/18,1890,88.8695652174
02/17/18,1913,78.9951690821
02/18/18,1935,61.9393939394
02/19/18,1958,78.9951690821
02/20/18,1981,69.1207729469
02/21/18,2003,92.9090909091
02/26/18,2047,67.101010101
02/28/18,2067,56.7777777778
03/01/18,2097,60.562962963
03/02/18,2126,54.8199233716
03/03/18,2146,56.7777777778
03/05/18,2168,41.2929292929
03/06/18,2193,63.5911111111
03/07/18,2215,72.2626262626
03/08/18,2237,103.2323232323
03/09/18,2260,88.8695652174
03/12/18,2306,74.0579710145
03/13/18,2329,59.2463768116
03/14/18,2353,85.1666666667
03/15/18,2370,53.4379084967
03/17/18,2416,74.0579710145
03/18/18,2438,61.9393939394
03/19/18,2460,82.5858585859
03/20/18,2479,59.7660818713
03/21/18,2503,66.2407407407
03/22/18,2526,59.2463768116
03/23/18,2550,66.2407407407
03/24/18,2572,41.2929292929
03/25/18,2594,72.2626262626
03/26/18,2619,63.5911111111
03/28/18,2641,82.5858585859
03/29/18,2663,61.9393939394
04/01/18,2687,66.2407407407
04/02/18,2710,69.1207729469
04/03/18,2739,78.3141762452
04/04/18,2761,61.9393939394
04/05/18,2784,69.1207729469
04/06/18,2806,72.2626262626
04/07/18,2829,88.8695652174
04/08/18,2852,49.3719806763
04/09/18,2871,71.7192982456
04/10/18,2905,93.5163398693
04/11/18,2928,78.9951690821
04/12/18,2952,85.1666666667
04/14/18,2995,63.3798449612
04/15/18,3016,64.8888888889
04/16/18,3039,69.1207729469
04/17/18,3059,68.1333333333
04/18/18,3079,56.7777777778
04/19/18,3102,78.9951690821
04/20/18,3125,78.9951690821
04/21/18,3148,98.7439613527
04/22/18,3168,90.8444444444
04/23/18,3188,79.4888888889
04/24/18,3211,78.9951690821
04/25/18,3235,75.7037037037
04/26/18,3259,66.2407407407
04/27/18,3279,56.7777777778
04/28/18,3301,72.2626262626
04/29/18,3324,69.1207729469
04/30/18,3348,75.7037037037
05/01/18,3365,53.4379084967
05/02/18,3386,86.5185185185
05/03/18,3409,59.2463768116
05/04/18,3430,64.8888888889
05/05/18,3454,66.2407407407
05/06/18,3477,69.1207729469
05/07/18,3499,82.5858585859
05/08/18,3521,82.5858585859
05/09/18,3544,98.7439613527
05/10/18,3567,78.9951690821
05/11/18,3587,68.1333333333
05/12/18,3609,82.5858585859
05/13/18,3629,90.8444444444
05/14/18,3650,64.8888888889
05/15/18,3674,75.7037037037
05/16/18,3697,78.9951690821
05/17/18,3717,79.4888888889
05/20/18,3762,90.8444444444
05/21/18,3786,85.1666666667
05/22/18,3808,82.5858585859
05/23/18,3832,94.6296296296
05/24/18,3853,64.8888888889
05/25/18,3875,72.2626262626
05/26/18,3896,86.5185185185
05/27/18,3916,79.4888888889
05/28/18,3935,47.8128654971
05/29/18,3954,47.8128654971
05/30/18,3978,85.1666666667
05/31/18,3997,59.7660818713
06/01/18,4018,75.7037037037
06/02/18,4039,64.8888888889
06/04/18,4060,64.8888888889
06/05/18,4079,59.7660818713
06/06/18,4101,61.9393939394
06/07/18,4122,64.8888888889
06/08/18,4145,78.9951690821
06/09/18,4166,75.7037037037
06/11/18,4186,68.1333333333
06/12/18,4211,72.6755555556
06/13/18,4230,59.7660818713
06/14/18,4251,54.0740740741
06/15/18,4272,75.7037037037
06/16/18,4293,64.8888888889
06/17/18,4314,108.1481481481
06/18/18,4335,97.3333333333
06/19/18,4357,72.2626262626
06/20/18,4380,78.9951690821
06/21/18,4402,82.5858585859
06/22/18,4424,72.2626262626
06/24/18,4469,90.8444444444
06/25/18,4491,82.5858585859
06/26/18,4512,75.7037037037
06/27/18,4534,92.9090909091
06/28/18,4555,64.8888888889
06/29/18,4578,78.9951690821
06/30/18,4603,90.8444444444
07/01/18,4625,72.2626262626
07/02/18,4649,85.1666666667
07/03/18,4670,75.7037037037
07/04/18,4691,64.8888888889
07/05/18,4710,47.8128654971
07/06/18,4730,68.1333333333
07/07/18,4750,79.4888888889
07/08/18,4771,86.5185185185
07/09/18,4794,88.8695652174
07/10/18,4815,54.0740740741
07/11/18,4835,68.1333333333
07/22/18,4858,69.1207729469
07/24/18,4876,75.7037037037
07/25/18,4899,69.1207729469
07/27/18,4941,59.4814814815
07/28/18,4959,50.4691358025
07/29/18,4975,70.9722222222
07/30/18,4998,88.8695652174
07/31/18,5016,63.0864197531
08/01/18,5036,79.4888888889
08/02/18,5057,64.8888888889
08/03/18,5083,78.6153846154
08/04/18,5104,54.0740740741
08/05/18,5124,56.7777777778
08/06/18,5146,92.9090909091
08/07/18,5165,83.6725146199
08/08/18,5185,56.7777777778
08/09/18,5209,66.2407407407
08/10/18,5235,69.8803418803
08/11/18,5256,75.7037037037
08/12/18,5277,86.5185185185
08/13/18,5298,75.7037037037
08/14/18,5321,88.8695652174
08/15/18,5344,59.2463768116
08/16/18,5367,78.9951690821
